"","UniProt_Name","protein.ids","majority.protein.ids","peptide.counts..all.","peptide.counts..razor.unique.","peptide.counts..unique.","fasta.headers","number.of.proteins","peptides","razor...unique.peptides","unique.peptides","area_1","area_2","area_3","area_4_and_5","area_6","area_7","area_8"
"1","A0A024R4E5;Q00341;H0Y394;H7C0A4;C9JIZ1;C9JZI8;C9J5E5;H7C2D1;C9JHS7;C9JHZ8;C9JES8;H7BZC3;C9JT62;C9JK79;C9JMQ6;C9JQ82;C9JBS3;C9JEJ8;C9JHN6;C9JHS9;C9J739;H7C3D0","A0A024R4E5;Q00341;H0Y394;H7C0A4;C9JIZ1;C9JZI8;C9J5E5;H7C2D1;C9JHS7;C9JHZ8;C9JES8;H7BZC3;C9JT62;C9JK79;C9JMQ6;C9JQ82;C9JBS3;C9JEJ8;C9JHN6;C9JHS9;C9J739;H7C3D0","A0A024R4E5;Q00341;H0Y394","28;28;20;11;6;5;5;5;4;4;4;4;3;3;2;2;2;2;2;1;1;1","28;28;20;11;6;5;5;5;4;4;4;4;3;3;2;2;2;2;2;1;1;1","28;28;20;11;6;5;5;5;4;4;4;4;3;3;2;2;2;2;2;1;1;1","High density lipoprotein binding protein (Vigilin), isoform CRA_a;Vigilin;Vigilin (Fragment)",22,28,28,28,0.481983197954737,0.713232174458422,0.111808748835674,0.137489415021886,0.265455785572836,0.320913714292484,-2.86285286815061
"2","A0A024R571;Q9H4M9;C9JC03;C9J2Z4;C9JDQ8;C9JIJ3;C9IZH1","A0A024R571;Q9H4M9;C9JC03;C9J2Z4;C9JDQ8;C9JIJ3;C9IZH1","A0A024R571;Q9H4M9;C9JC03;C9J2Z4","18;18;13;11;6;4;4","17;17;12;11;6;3;3","10;10;5;6;2;1;1","EH domain-containing protein 1;EH domain-containing protein 1;EH domain-containing protein 1 (Fragment);EH domain-containing protein 1 (Fragment)",7,18,17,10,1.73404572668119,1.81267394629909,1.65500732685907,1.39187393962354,0.736183857468191,1.16871361564173,NA
"3","A0A024R7W5;A0A087X0Q1;A0A087WY31;Q7Z739;Q9BYJ9","A0A024R7W5;A0A087X0Q1;A0A087WY31;Q7Z739;Q9BYJ9","A0A024R7W5;A0A087X0Q1;A0A087WY31;Q7Z739;Q9BYJ9","2;2;2;2;1","2;2;2;2;1","2;2;2;2;1","YTH domain family, member 3, isoform CRA_a;YTH domain-containing family protein 3;YTH domain-containing family protein 3;YTH domain-containing family protein 3;YTH domain-containing family protein 1",5,2,2,2,-3.61327229926174,-4.16170651313935,NA,NA,-4.49133902678337,-3.50796945817132,-2.1805283151865
"4","A0A024RA52;P25787;A0A7I2V2H3;A0A7I2YQP7;C9JCK5;H3BT36","A0A024RA52;P25787;A0A7I2V2H3;A0A7I2YQP7;C9JCK5;H3BT36","A0A024RA52;P25787;A0A7I2V2H3;A0A7I2YQP7;C9JCK5","8;8;6;4;4;2","8;8;6;4;4;2","8;8;6;4;4;2","Proteasome subunit alpha type;Proteasome subunit alpha type-2;Proteasome subunit alpha type;Proteasome 20S subunit alpha 2;Proteasome subunit alpha type-2",6,8,8,8,3.97942138030263,3.66958746963253,3.89348851729794,2.74697965116543,2.5383969880722,3.38571128021959,NA
"5","A0A024RBT2;Q9NR28","A0A024RBT2;Q9NR28","A0A024RBT2;Q9NR28","4;4","4;4","4;4","Direct IAP-binding protein with low pI;Diablo IAP-binding mitochondrial protein",2,4,4,4,0.476269152052019,0.393842525939537,0.344688684085295,NA,0.377413273463489,0.493107520002184,NA
"6","A0A075B6E5;A0A0U1RQP7;A0A0U1RRM6;Q8N8S7;A0A8Q3WLE0","A0A075B6E5;A0A0U1RQP7;A0A0U1RRM6;Q8N8S7;A0A8Q3WLE0","A0A075B6E5;A0A0U1RQP7;A0A0U1RRM6;Q8N8S7","3;3;3;3;1","3;3;3;3;1","3;3;3;3;1","Protein enabled homolog (Fragment);Protein enabled homolog (Fragment);Protein enabled homolog;Protein enabled homolog",5,3,3,3,-1.91123799507704,-1.05429749119138,-2.71625937506979,NA,-2.11520987839556,-1.09108502010352,NA
"7","A0A075B730;P58107","A0A075B730;P58107","A0A075B730;P58107","46;46","40;40","40;40","Epiplakin;Epiplakin",2,46,40,40,-0.327146634434822,-0.362549779178696,0.449120824838232,-1.19331922622576,0.423670094124176,-0.154044270074976,-4.32838809599394
"8","A0A087WT27;A0A494C1Q4;J3KN95;A0A494C1E2;A0A494C0G1;H0Y987;O95394;D6RCQ8;D6RF77;D6RIS6;A0A494C163;A0A494C099;H0Y8I3","A0A087WT27;A0A494C1Q4;J3KN95;A0A494C1E2;A0A494C0G1;H0Y987;O95394;D6RCQ8;D6RF77;D6RIS6;A0A494C163;A0A494C099;H0Y8I3","A0A087WT27;A0A494C1Q4;J3KN95;A0A494C1E2;A0A494C0G1;H0Y987;O95394;D6RCQ8;D6RF77;D6RIS6;A0A494C163;A0A494C099","3;3;3;3;3;3;3;2;2;2;2;2;1","3;3;3;3;3;3;3;2;2;2;2;2;1","3;3;3;3;3;3;3;2;2;2;2;2;1","Phosphoacetylglucosamine mutase;Phosphoacetylglucosamine mutase (Fragment);Phosphoacetylglucosamine mutase;Phosphoacetylglucosamine mutase;Phosphoacetylglucosamine mutase;Phosphoacetylglucosamine mutase;Phosphoacetylglucosamine mutase;Phosphoacetylglucosam",13,3,3,3,-2.01930857855717,-1.63381085144978,-2.59977809783186,NA,-2.48547618748459,-2.33251530518841,NA
"9","A0A087WTT1;A0A7I2V649;H0YAR2;E7ERJ7;A0A7I2YQ88;P11940;E7EQV3;A0A7I2V4N4;A0A7I2YQ90;A0A7I2YQE4;H0YBN4;Q9H361;E5RGH3;E5RH24;E5RJB9;H0YAP2;H0YAS6;H0YB75;E5RHG7;H0YAS7;H0YB86;H0YC10;E5RGC4;E5RFD8;H0YER0;H0YEQ8;A0A7I2V3J9;A0A6Q8JFV4;H0Y6X6;A0A7I2V4V6;A0A6Q8JFT6;Q5JQF8;Q4VXU2","A0A087WTT1;A0A7I2V649;H0YAR2;E7ERJ7;A0A7I2YQ88;P11940;E7EQV3;A0A7I2V4N4;A0A7I2YQ90;A0A7I2YQE4;H0YBN4;Q9H361;E5RGH3;E5RH24;E5RJB9;H0YAP2;H0YAS6;H0YB75;E5RHG7;H0YAS7;H0YB86;H0YC10;E5RGC4;E5RFD8;H0YER0;H0YEQ8;A0A7I2V3J9;A0A6Q8JFV4;H0Y6X6;A0A7I2V4V6;A0A6Q8JFT6;Q5JQF8;Q4VXU2","A0A087WTT1;A0A7I2V649;H0YAR2;E7ERJ7;A0A7I2YQ88;P11940;E7EQV3;A0A7I2V4N4;A0A7I2YQ90;A0A7I2YQE4","12;12;12;12;12;12;11;10;10;9;5;5;3;3;3;3;3;3;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1","12;12;12;12;12;12;11;10;10;9;5;5;3;3;3;3;3;3;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1","8;8;8;8;8;8;7;7;6;7;2;5;1;1;1;3;2;2;1;1;2;1;1;1;0;0;1;1;0;0;1;1;1","Polyadenylate-binding protein;Polyadenylate-binding protein 1;Polyadenylate-binding protein;Polyadenylate-binding protein;Polyadenylate-binding protein;Polyadenylate-binding protein 1;Polyadenylate-binding protein;Polyadenylate-binding protein;Polyadenylat",33,12,12,8,1.82820746632815,1.19762781169491,1.35717388853265,0.625715129440628,1.51080459542999,1.3734594473924,NA
"10","A0A087WTZ5;E9PJ81;E9PRQ7;Q04323","A0A087WTZ5;E9PJ81;E9PRQ7;Q04323","A0A087WTZ5;E9PJ81;E9PRQ7;Q04323","3;3;3;3","3;3;3;3","3;3;3;3","UBX domain-containing protein 1;UBX domain-containing protein 1 (Fragment);UBX domain-containing protein 1;UBX domain-containing protein 1",4,3,3,3,1.16266787537092,0.464132709134194,0.837278912815581,-1.57370059747217,0.110958185394782,0.0146697635780022,NA
"11","A0A087WUB9;Q8WYA6","A0A087WUB9;Q8WYA6","A0A087WUB9;Q8WYA6","2;2","2;2","2;2","Beta-catenin-like protein 1;Beta-catenin-like protein 1",2,2,2,2,-3.50732080058922,-2.49196411813407,-1.74728929042549,NA,-2.66648616846847,-4.41524962077294,NA
"12","A0A087WUK2;O14979","A0A087WUK2;O14979","A0A087WUK2;O14979","6;6","6;6","6;6","Heterogeneous nuclear ribonucleoprotein D-like;Heterogeneous nuclear ribonucleoprotein D-like",2,6,6,6,1.10329749785212,1.05921480483244,1.78855151835642,0.826384394875969,1.85811431627109,1.6344004295687,NA
"13","A0A087WUL2;P49720;A0A087WXQ8;A0A087WY10","A0A087WUL2;P49720;A0A087WXQ8;A0A087WY10","A0A087WUL2;P49720;A0A087WXQ8;A0A087WY10","4;4;3;3","4;4;3;3","4;4;3;3","Proteasome subunit beta type-3 (Fragment);Proteasome subunit beta type-3;Proteasome subunit beta type-3;Proteasome subunit beta type-3",4,4,4,4,3.85562422798013,3.47472319201079,4.00652020990769,2.44559543091118,3.21644234157418,3.24834157062763,-0.544514318281459
"14","A0A087WUN7;H0YJ40;G3V4X6;G3V2S9;Q9GZT3;H0YJI1;H0YJW7","A0A087WUN7;H0YJ40;G3V4X6;G3V2S9;Q9GZT3;H0YJI1;H0YJW7","A0A087WUN7;H0YJ40;G3V4X6;G3V2S9;Q9GZT3;H0YJI1;H0YJW7","2;2;2;2;2;1;1","2;2;2;2;2;1;1","2;2;2;2;2;1;1","SRA stem-loop-interacting RNA-binding protein, mitochondrial;SRA stem-loop-interacting RNA-binding protein, mitochondrial (Fragment);SRA stem-loop-interacting RNA-binding protein, mitochondrial;SRA stem-loop-interacting RNA-binding protein, mitochondrial;S",7,2,2,2,-1.45372357943404,-1.56418820786979,0.0936993682839429,NA,-0.54905169251893,-0.855883720666743,NA
"15","A0A087WUT6;O60841","A0A087WUT6;O60841","A0A087WUT6;O60841","6;6","6;6","6;6","Eukaryotic translation initiation factor 5B;Eukaryotic translation initiation factor 5B",2,6,6,6,-1.48293723030816,-1.37116236247582,-1.62515684533053,NA,-1.37963498843994,-2.56573096106726,NA
"16","A0A087WUZ3;Q01082;F8W6C1;A4QPE4;P11277","A0A087WUZ3;Q01082;F8W6C1;A4QPE4;P11277","A0A087WUZ3;Q01082","95;95;29;5;2","95;95;29;5;2","89;89;24;0;0","Spectrin beta chain;Spectrin beta chain, non-erythrocytic 1",5,95,95,89,3.0291664540734,3.0882776104334,3.20842469515367,3.54041317776502,2.76995459412343,2.5621514863055,-0.984513630275176
"17","A0A087WV05;Q99417;A0A0D9SEI7","A0A087WV05;Q99417;A0A0D9SEI7","A0A087WV05;Q99417;A0A0D9SEI7","2;2;1","2;2;1","2;2;1","c-Myc-binding protein;c-Myc-binding protein;c-Myc-binding protein",3,2,2,2,-0.618623321746675,-0.947192589327745,0.151805797960851,NA,0.426748702434374,0.0965292647951266,NA
"18","A0A087WV25;O95684","A0A087WV25;O95684","A0A087WV25;O95684","4;4","4;4","4;4","Centrosomal protein 43;Centrosomal protein 43",2,4,4,4,-1.84815763589975,-2.06124918261218,NA,-2.7485481449617,-0.492374421371103,-0.901727560196377,NA
"19","A0A087WVC4;P22694;B1APG1;B1APG0;B1APG2;B1APF8;B1APF9;B1APG3;A0A7I2V5J4;P17612;B1APF7;A0A7I2YQ82;Q15136;B7Z708;K7ERP6;P22612","A0A087WVC4;P22694;B1APG1;B1APG0;B1APG2;B1APF8;B1APF9;B1APG3;A0A7I2V5J4;P17612;B1APF7;A0A7I2YQ82;Q15136;B7Z708;K7ERP6;P22612","A0A087WVC4;P22694;B1APG1;B1APG0;B1APG2;B1APF8;B1APF9;B1APG3;A0A7I2V5J4;P17612","5;5;3;3;3;3;3;3;3;3;2;1;1;1;1;1","5;5;3;3;3;3;3;3;3;3;2;1;1;1;1;1","5;5;3;3;3;3;3;3;3;3;2;1;1;1;1;1","cAMP-dependent protein kinase;cAMP-dependent protein kinase catalytic subunit beta;cAMP-dependent protein kinase catalytic subunit beta (Fragment);cAMP-dependent protein kinase catalytic subunit beta (Fragment);cAMP-dependent protein kinase catalytic subun",16,5,5,5,0.163350308695467,0.229490205065719,0.0794998911621185,1.05013899886733,0.32752774006109,0.124384303596464,NA
"20","A0A087WVQ6;Q00610;J3KS13;A0A087WX41;P53675;K7EJJ5;J3QL20;J3KSQ2;J3KRF5","A0A087WVQ6;Q00610;J3KS13;A0A087WX41;P53675;K7EJJ5;J3QL20;J3KSQ2;J3KRF5","A0A087WVQ6;Q00610","54;54;20;10;10;7;4;4;4","54;54;20;10;10;7;4;4;4","54;54;20;10;10;7;4;4;4","Clathrin heavy chain;Clathrin heavy chain 1",9,54,54,54,4.14103054787428,4.05583524697051,4.47036867172124,3.37607120421361,3.98635150543378,3.74851676511206,-0.2029196973594
"21","A0A087WVY5;Q96MR6;E9PRV3;E9PP89;H7C4D4","A0A087WVY5;Q96MR6;E9PRV3;E9PP89;H7C4D4","A0A087WVY5;Q96MR6","9;9;2;1;1","9;9;2;1;1","9;9;2;1;1","Cilia- and flagella-associated protein 57;Cilia- and flagella-associated protein 57",5,9,9,9,-2.70377725367464,-2.28598362380057,-1.39364616505455,NA,-1.20391236503879,-1.6916634039608,NA
"22","A0A087WW38;A0A2R8YFQ7;A0A2R8YCZ4;Q9Y2S2;A0A2R8Y4K2","A0A087WW38;A0A2R8YFQ7;A0A2R8YCZ4;Q9Y2S2;A0A2R8Y4K2","A0A087WW38;A0A2R8YFQ7;A0A2R8YCZ4;Q9Y2S2;A0A2R8Y4K2","2;2;2;2;1","2;2;2;2;1","2;2;2;2;1","Lambda-crystallin homolog (Fragment);Lambda-crystallin homolog;Lambda-crystallin homolog;Lambda-crystallin homolog;Crystallin, lambda 1, isoform CRA_c",5,2,2,2,-0.997362483722121,-1.25257107063347,-1.84075513506253,-1.55748469251428,-1.77224677051394,-2.52490879854334,NA
"23","A0A087WW40;Q9Y371","A0A087WW40;Q9Y371","A0A087WW40;Q9Y371","6;6","5;5","5;5","Endophilin-B1;Endophilin-B1",2,6,5,5,0.424695274948874,0.520051465210042,0.576293678102761,-0.61004939760425,-1.12549348903061,-0.856242387477039,NA
