"","UniProt_Name","protein.ids","majority.protein.ids","peptide.counts..all.","peptide.counts..razor.unique.","peptide.counts..unique.","fasta.headers","number.of.proteins","peptides","razor...unique.peptides","unique.peptides"
"1","A0A2R8YD12;A0A024QZX5;A0A087X1N8;P35237;A0A2R8Y6A7;C9JTJ8;C9JVA8","A0A2R8YD12;A0A024QZX5;A0A087X1N8;P35237;A0A2R8Y6A7;C9JTJ8;C9JVA8","A0A2R8YD12;A0A024QZX5;A0A087X1N8;P35237","13;13;13;13;6;1;1","13;13;13;13;6;1;1","12;12;12;12;5;0;0","Serpin B6;Serpin B6;Serpin B6;Serpin B6",7,13,13,12
"2","A0A024R4E5;Q00341;H0Y394;H7C0A4;C9JIZ1;C9JZI8;C9J5E5;H7C2D1;C9JHS7;C9JHZ8;C9JES8;H7BZC3;C9JT62;C9JK79;C9JMQ6;C9JQ82;C9JBS3;C9JEJ8;C9JHN6;C9JHS9;C9J739;H7C3D0","A0A024R4E5;Q00341;H0Y394;H7C0A4;C9JIZ1;C9JZI8;C9J5E5;H7C2D1;C9JHS7;C9JHZ8;C9JES8;H7BZC3;C9JT62;C9JK79;C9JMQ6;C9JQ82;C9JBS3;C9JEJ8;C9JHN6;C9JHS9;C9J739;H7C3D0","A0A024R4E5;Q00341;H0Y394","28;28;20;11;6;5;5;5;4;4;4;4;3;3;2;2;2;2;2;1;1;1","28;28;20;11;6;5;5;5;4;4;4;4;3;3;2;2;2;2;2;1;1;1","28;28;20;11;6;5;5;5;4;4;4;4;3;3;2;2;2;2;2;1;1;1","High density lipoprotein binding protein (Vigilin), isoform CRA_a;Vigilin;Vigilin (Fragment)",22,28,28,28
"3","A0A024R571;Q9H4M9;C9JC03;C9J2Z4;C9JDQ8;C9JIJ3;C9IZH1","A0A024R571;Q9H4M9;C9JC03;C9J2Z4;C9JDQ8;C9JIJ3;C9IZH1","A0A024R571;Q9H4M9;C9JC03;C9J2Z4","18;18;13;11;6;4;4","17;17;12;11;6;3;3","10;10;5;6;2;1;1","EH domain-containing protein 1;EH domain-containing protein 1;EH domain-containing protein 1 (Fragment);EH domain-containing protein 1 (Fragment)",7,18,17,10
"4","A0A024R7W5;A0A087X0Q1;A0A087WY31;Q7Z739;Q9BYJ9","A0A024R7W5;A0A087X0Q1;A0A087WY31;Q7Z739;Q9BYJ9","A0A024R7W5;A0A087X0Q1;A0A087WY31;Q7Z739;Q9BYJ9","2;2;2;2;1","2;2;2;2;1","2;2;2;2;1","YTH domain family, member 3, isoform CRA_a;YTH domain-containing family protein 3;YTH domain-containing family protein 3;YTH domain-containing family protein 3;YTH domain-containing family protein 1",5,2,2,2
"5","A0A024RA52;P25787;A0A7I2V2H3;A0A7I2YQP7;C9JCK5;H3BT36","A0A024RA52;P25787;A0A7I2V2H3;A0A7I2YQP7;C9JCK5;H3BT36","A0A024RA52;P25787;A0A7I2V2H3;A0A7I2YQP7;C9JCK5","8;8;6;4;4;2","8;8;6;4;4;2","8;8;6;4;4;2","Proteasome subunit alpha type;Proteasome subunit alpha type-2;Proteasome subunit alpha type;Proteasome 20S subunit alpha 2;Proteasome subunit alpha type-2",6,8,8,8
"6","A0A024RBT2;Q9NR28","A0A024RBT2;Q9NR28","A0A024RBT2;Q9NR28","4;4","4;4","4;4","Direct IAP-binding protein with low pI;Diablo IAP-binding mitochondrial protein",2,4,4,4
"7","A0A7P0MQS5;A0A024RCR6;A0A0G2JK23;A0A7I2V508;P46379;A0A0G2JL47;F6S6P2;X6REW1;A0A0G2JJM1","A0A7P0MQS5;A0A024RCR6;A0A0G2JK23;A0A7I2V508;P46379;A0A0G2JL47;F6S6P2;X6REW1;A0A0G2JJM1","A0A7P0MQS5;A0A024RCR6;A0A0G2JK23;A0A7I2V508;P46379;A0A0G2JL47;F6S6P2;X6REW1;A0A0G2JJM1","4;4;4;4;4;3;2;2;2","4;4;4;4;4;3;2;2;2","4;4;4;4;4;3;2;2;2","Large proline-rich protein BAG6;Large proline-rich protein BAG6;Large proline-rich protein BAG6;Large proline-rich protein BAG6;Large proline-rich protein BAG6;Large proline-rich protein BAG6;Large proline-rich protein BAG6 (Fragment);Large proline-rich pr",9,4,4,4
"8","A0A075B6E5;A0A0U1RQP7;A0A0U1RRM6;Q8N8S7;A0A8Q3WLE0","A0A075B6E5;A0A0U1RQP7;A0A0U1RRM6;Q8N8S7;A0A8Q3WLE0","A0A075B6E5;A0A0U1RQP7;A0A0U1RRM6;Q8N8S7","3;3;3;3;1","3;3;3;3;1","3;3;3;3;1","Protein enabled homolog (Fragment);Protein enabled homolog (Fragment);Protein enabled homolog;Protein enabled homolog",5,3,3,3
"9","A0A5H1ZRP8;A0A075B6G3;P11532;A0A087WV90;A0A087WTU7;A0A804HKR4;A0A5H1ZRQ1;A0A5H1ZRP9;A0A5H1ZRQ8;H0Y304;A0A5H1ZRP7;Q4G0X0;A0A7P0Z4M9;A0A5H1ZRR9;A0A804HKY9;A0A804HJY0;A0A7P0TAW7;A0A7P0T8I2;A0A7P0Z4P7;A0A804HIY5;A0A7P0TAD9;A0A0S2Z3B2;A0A7P0TA90;H0Y3E8;A0A7P0Z4Q6;A0A804HL39;A0A7P0TAM6;A0A804HKZ5;Q14174;A0A7P0Z447","A0A5H1ZRP8;A0A075B6G3;P11532;A0A087WV90;A0A087WTU7;A0A804HKR4;A0A5H1ZRQ1;A0A5H1ZRP9;A0A5H1ZRQ8;H0Y304;A0A5H1ZRP7;Q4G0X0;A0A7P0Z4M9;A0A5H1ZRR9;A0A804HKY9;A0A804HJY0;A0A7P0TAW7;A0A7P0T8I2;A0A7P0Z4P7;A0A804HIY5;A0A7P0TAD9;A0A0S2Z3B2;A0A7P0TA90;H0Y3E8;A0A7P0Z4Q6;A0A804HL39;A0A7P0TAM6;A0A804HKZ5;Q14174;A0A7P0Z447","A0A5H1ZRP8;A0A075B6G3;P11532;A0A087WV90","16;16;16;11;7;7;7;7;7;7;6;5;5;5;5;4;4;4;4;3;2;2;2;2;2;2;2;2;1;1","16;16;16;11;7;7;7;7;7;7;6;5;5;5;5;4;4;4;4;3;2;2;2;2;2;2;2;2;1;1","16;16;16;11;7;7;7;7;7;7;6;5;5;5;5;4;4;4;4;3;2;2;2;2;2;2;2;2;1;1","Dystrophin;Dystrophin;Dystrophin;Dystrophin",30,16,16,16
"10","A0A075B730;P58107","A0A075B730;P58107","A0A075B730;P58107","46;46","40;40","40;40","Epiplakin;Epiplakin",2,46,40,40
"11","M3ZCP1;A0A075B788;P08575;E9PKH0;A0A140TA77;A0A140TA68;A0A0G2JNW2","M3ZCP1;A0A075B788;P08575;E9PKH0;A0A140TA77;A0A140TA68;A0A0G2JNW2","M3ZCP1;A0A075B788;P08575;E9PKH0","3;3;3;2;1;1;1","3;3;3;2;1;1;1","3;3;3;2;1;1;1","Receptor-type tyrosine-protein phosphatase C (Fragment);Receptor-type tyrosine-protein phosphatase C;Receptor-type tyrosine-protein phosphatase C;Receptor-type tyrosine-protein phosphatase C (Fragment)",7,3,3,3
"12","A0A087WT27;A0A494C1Q4;J3KN95;A0A494C1E2;A0A494C0G1;H0Y987;O95394;D6RCQ8;D6RF77;D6RIS6;A0A494C163;A0A494C099;H0Y8I3","A0A087WT27;A0A494C1Q4;J3KN95;A0A494C1E2;A0A494C0G1;H0Y987;O95394;D6RCQ8;D6RF77;D6RIS6;A0A494C163;A0A494C099;H0Y8I3","A0A087WT27;A0A494C1Q4;J3KN95;A0A494C1E2;A0A494C0G1;H0Y987;O95394;D6RCQ8;D6RF77;D6RIS6;A0A494C163;A0A494C099","3;3;3;3;3;3;3;2;2;2;2;2;1","3;3;3;3;3;3;3;2;2;2;2;2;1","3;3;3;3;3;3;3;2;2;2;2;2;1","Phosphoacetylglucosamine mutase;Phosphoacetylglucosamine mutase (Fragment);Phosphoacetylglucosamine mutase;Phosphoacetylglucosamine mutase;Phosphoacetylglucosamine mutase;Phosphoacetylglucosamine mutase;Phosphoacetylglucosamine mutase;Phosphoacetylglucosam",13,3,3,3
"13","A0A087WT45;Q4V328","A0A087WT45;Q4V328","A0A087WT45;Q4V328","2;2","2;2","2;2","GRIP1-associated protein 1;GRIP1-associated protein 1",2,2,2,2
